"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUqHMAU","","Federal Agency","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Fed_Agency","","Enter 1 for Office of the Comptroller of the Currency, 2 for Fed Reserve System, 3 for Fed Deposit Ins Corp, 5 for National Credit Union Admin, 7 for US Dept. of Housing and Urban Development (HUD), 9 for Consumer Financial Protection Bureau (CFPB)"
"a1DDm000000kUqIMAU","","Federal Tax ID","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","HMDA","true","Fed_Tax_Id","","This field indicates the 10 character Financial Institutions Federal Tax Id."
"a1DDm000000kUqJMAU","","42214238204387839","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Credit Memo","true","Credit Memo Save Version Enabled","true",""
"a1DDm000000kUqKMAU","","42633939807447466","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Credit Memo","true","credit_memo_viewer","true",""
"a1DDm000000kUqLMAU","","33D71785_E89E_4EA6_8377_861CD26A109F","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","collateral2_migration_category","true","collateral2_1_migration_key","true",""
"a1DDm000000kUqMMAU","","42734409802566035","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","Excluded System Property Category","true","Excluded Pending Facilities Key","Declined, Withdrawn, DECLINED",""
"a1DDm000000kUqNMAU","","42253751423221801","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MemoMoveModUpdateTrigger Category","true","MemoMoveModUpdateTrigger Status Key","false",""
"a1DDm000000kUqOMAU","","CLA Budget Amount Changes","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_REQUIRED","true","CLA_Budget_Amount_Change__c","NONE",""
"a1DDm000000kUqPMAU","","42373550837081773","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_REQUIRED","false","Loan_Information_Change__c","MemoCategoryLoanInformation",""
"a1DDm000000kUqQMAU","","42605363348918679","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","MEMO_APPROVAL_NOT_REQUIRED","true","Borrower_Removed__c","NONE",""
